1,和親公主的皖雅，也逃脫不了所謂“貢物”的命運，絢爛一時的愛情，到頭來終究抵不上江山一角。,book,3.888888889,4.625
2,愛情，如此完美卻又失落，皖雅的結局，苦澀卻又實際地描繪了宮廷女子悲婉的一生。,book,3.75,3
3,看盡世間無限遺憾，只因愛情如此脆弱。,book,3.25,4.142857143
4,書今天朋友已經收到了。,book,5.333333333,4.285714286
5,但我相信它會和我手中的這本書一樣溫馨美好。,book,6.375,5.142857143
6,對於整個購書過程我很滿意。,book,7,3.428571429
7,我是第一次讀龍應臺的書，流暢的文筆，深深的內涵，對兒子的關愛，平等的推心置腹，思想觀唸的碰撞火花竟然這般的美麗而感人。,book,7.333333333,5.857142857
8,兩代人之間的鴻溝在優美的文字中慢慢地彌合，讓我回味、思考了很多。,book,6.4,4.571428571
9,推薦給我的兒子、朋友們。,book,6.75,5
10,書中攝影作品以及文字都向讀者呈現另一個完全不同的時空，我想熱衷於此苦旅之樂的人們，受得起苦，覺得萬分值得的也是這一份精神體驗的快樂。,book,6.333333333,5.625
11,剛開始看的時候心情是平靜的，看到中間真的期待她有個好的結局，有個好的人生，可是不樂觀的情節越來越多，如預感，結局讓人很心痛，但是也讓人平靜。,book,5.5,4.142857143
12,看完這本書的時候，我內心對愛情的看法再次進行了調整，身不由己的調整。,book,5.125,5.125
13,生活的力量真的足夠巨大，巨大的讓人可以平靜來面對這一切的過眼雲煙和眼前與期待相差甚遠的平淡。,book,4.375,4.25
14,不過，很滿足，平淡才最真實~~,book,5.625,4.857142857
15,故事情節的發展，我也心中甜蜜，酸楚，失落，幸福。,book,5.125,4.571428571
16,我們的生活中也需要激情，在小說當中會找到我們也曾有過的戀愛的感覺。,book,6,5
17,當自己對幸福迷茫的時候，就會想到，不要將自己手中的幸福隨便就放掉，那樣，當自己發現那是你的最愛時，已經找不回來了。,book,5.111111111,3.666666667
18,學會愛，抓住愛，把握愛，珍惜愛，那就會有幸福。,book,7.222222222,4.166666667
19,日常養生的參考還是不錯，有很多從前不知道的保養知識。,book,6.875,5.5
20,看了此書對中醫養生有了更濃厚的興趣，當然尤其是能使自己又美麗又健康的法子，正在嘗試，但願有效果。,book,6.222222222,4.428571429
21,呵呵，現在買了很多花草茶，還有茯苓粉，打算再做種子眼霜。,book,5.25,2.833333333
22,嘻嘻，女人就是愛折騰，只要能讓自己變美，就絕不怕麻煩，所以，從這個方面講，算是本好書吧,book,6.375,5.625
23,雖然很喜歡張小嫻的文字，麵包樹系列也很早就看過了，但是還是買了她所有自己喜歡的書回來珍藏。,book,7,4.25
24,書裏傷感的情節而落過淚感嘆唏噓但是這不是我要的每個人追求的愛情不一樣，有些感受卻是可以一樣的吧,book,4.222222222,4.142857143
25,買這本書的時候，正是我在感情方面有些心結的時候，雖然過去很長時間了，但心中仍有些情素無法平復。,book,3.777777778,6.142857143
26,看完這本書，確實對我幫助很大，可以客觀、理智地分析問題。,book,6.625,4.5
27,正如書的名稱，三毛的這本早期作品不同於後期成熟後那個樂觀堅強的三毛，而是記錄了當三毛還是二毛時的經歷，心境，是她年少時那個愛做夢，有些神經質，傷感的雨季的縮影。,book,4.333333333,4.833333333
28,而正處於那個生命階段的讀者也許會產生共鳴，發現原來他們在這個時候的想法並不是孤獨，沒有人明白的。,book,4.25,4.25
29,張競生先生的愛情觀開國人之先河，在情海愛河中自由的遨遊真是不亦快哉！,book,6.375,6
30,張老先生的愛情理念是建立在女性獨立及兩性平等的基礎之上的，張老先生生命中的那些獨立自由、勇敢追求愛情的女性是多麼可愛啊！,book,6.6,5.5
31,書中的優美語言如潺潺流水般娓娓道來，給人以美的享受。,book,6.777777778,6.142857143
32,喜歡關於大學講座類的書，只要看到，從來都是毫不猶豫的買了來看，好好品嚐知識和文化的大餐，可以學到很多東西。,book,6.444444444,5.111111111
33,每次閱讀都會有新的感受，也決定了，不管什麼時候，看到學術講座的書都要買下來好好閱讀好好學習。,book,6.444444444,3.142857143
34,一個人真正不想孤獨和寂寞，只有多讀書多學習。,book,5.428571429,5.428571429
35,這是我多年看書的體會。,book,5.666666667,4
36,這一年的春夏秋冬歡笑痛苦哀傷，五味陳雜生活就是這樣，慢慢流淌，遇到該遇到的人又各奔東西，留下無盡的懷念和記憶，美好而感動,book,5.666666667,4.666666667
37,這本小書非常契合小孩子的心理特點，寫得、畫得都是妙趣橫生，因此小朋友的喜歡不言而喻！,book,6.666666667,6.857142857
38,我同時買了此書和《兔子湯姆》，這書實在是讀不下去，當然它的紙張和印刷是無可挑剔的。,book,4.875,4.625
39,圖畫過於煩瑣，看的人心煩意亂；文字更是不知所云，壓根不是中國人在說話。,book,4,4.625
40,奇怪的是它的評級卻高高在上，我甚至懷疑自己的閱讀水平，或者孩子喜歡？說實話，我家孩子只喜歡那個“小黑貓”的形象，知道了害怕“大怪獸”。,book,4.125,5.666666667
41,倒是“兔子”深得我跟孩子們的喜歡。,book,6.5,4.142857143
42,書中64個例子，從不同的方面詮釋了“編程之美”，遊戲的樂趣，數字的魅力，數字的樂趣，結構之美，這樣的四個部分，最讓我感覺到印象深刻的是遊戲樂趣。,book,6.5,4.375
43,這就是愛情中的極致了吧，於是《癡相公》把這樣的唯美愛情，一一鋪就，濃墨重彩。,book,6.222222222,4.625
44,珍兒與之心，從最初的愛上，到經歷了坎坷，抵制了誘惑，始終如一，只深愛對方。,book,6.222222222,6
45,愛情中的把持與堅韌，真的太讓人感動。,book,6.375,5.333333333
46,這無可厚非，人應該先愛自己，才能去愛別人。,book,5.428571429,3.5
47,愛情說到底也不外乎人情，一個連自己都不愛的人又怎麼能去愛人呢？靳辰和蕭志皓，也是身處娛樂圈，纔會讓人對他們同性戀的身份不那麼計較，寬容也是需要環境的。,book,5.75,4.75
48,張曼娟的文字和張小嫻一樣，都屬於療傷係，雖然我沒有受傷，但這並不影響我對她的喜愛。,book,6.222222222,4
